,IV,feature
396,0.11626891513590493,greyscale -> blue -> heat-8
397,0.565982535110585,greyscale -> blue -> heat-9
398,0.5633966415179082,greyscale -> blue -> heat-10
399,0.5676487740367903,greyscale -> blue -> heat-11
400,0.09890220960479017,greyscale -> blue -> heat-12
401,0.5299483710041053,greyscale -> blue -> heat-13
402,0.5263195731866953,greyscale -> blue -> heat-14
403,0.5053244544591331,greyscale -> blue -> heat-15
404,0.11576385741333063,greyscale -> blue -> heat-16
405,0.548721158394975,greyscale -> blue -> heat-17
406,0.5485228371256002,greyscale -> blue -> heat-18
407,0.5488917955731344,greyscale -> blue -> heat-19
408,0.08867089314142534,greyscale -> blue -> heat-20
409,0.5023381796504676,greyscale -> blue -> heat-21
410,0.5022717486274557,greyscale -> blue -> heat-22
411,0.5023057086571383,greyscale -> blue -> heat-23
412,0.34397896471441997,greyscale -> blue -> persistence_image-0
413,0.34417400741892973,greyscale -> blue -> persistence_image-1
414,0.3335524414908313,greyscale -> blue -> persistence_image-2
415,0.33810567182551954,greyscale -> blue -> persistence_image-3
416,0.33636820115726396,greyscale -> blue -> persistence_image-4
417,0.3365013122527258,greyscale -> blue -> persistence_image-5
418,0.26944967839392353,greyscale -> blue -> persistence_image-6
419,0.23356103389702917,greyscale -> blue -> persistence_image-7
420,0.3130239678608658,greyscale -> blue -> persistence_image-8
421,0.31283583727457465,greyscale -> blue -> persistence_image-9
422,0.3068263957309166,greyscale -> blue -> persistence_image-10
423,0.29988211219340183,greyscale -> blue -> persistence_image-11
424,0.3048235549976285,greyscale -> blue -> persistence_image-12
425,0.3048589370568445,greyscale -> blue -> persistence_image-13
426,0.3032860433589645,greyscale -> blue -> persistence_image-14
427,0.28237613336303646,greyscale -> blue -> persistence_image-15
428,0.29087222412422,greyscale -> blue -> persistence_image-16
429,0.29087222412422,greyscale -> blue -> persistence_image-17
430,0.29072107070326025,greyscale -> blue -> persistence_image-18
431,0.29349612693425486,greyscale -> blue -> persistence_image-19
432,0.29260637495370784,greyscale -> blue -> persistence_image-20
433,0.29260637495370784,greyscale -> blue -> persistence_image-21
434,0.29243247251240917,greyscale -> blue -> persistence_image-22
435,0.28872837021838144,greyscale -> blue -> persistence_image-23
436,0.5142881693060455,greyscale -> blue -> lifetime-0
437,0.5481392902313169,greyscale -> blue -> lifetime-1
438,0.4279260921710792,greyscale -> blue -> lifetime-2
439,0.4307263726387507,greyscale -> blue -> lifetime-3
440,0.5340807011483613,greyscale -> blue -> lifetime-4
441,0.5090774074039838,greyscale -> blue -> lifetime-5
442,0.5744206741089543,greyscale -> blue -> lifetime-6
443,0.6088459101965326,greyscale -> blue -> lifetime-7
444,0.556794834967717,greyscale -> blue -> lifetime-8
445,0.5049362537726824,greyscale -> blue -> lifetime-9
446,0.5649437619397906,greyscale -> blue -> lifetime-10
447,0.5647422230348679,greyscale -> blue -> lifetime-11
448,0.5334420608114859,inverted_greyscale -> gray -> betti-0
449,0.53422708611595,inverted_greyscale -> gray -> betti-1
450,0.4629410274790023,inverted_greyscale -> gray -> betti-2
451,0.24989746464164103,inverted_greyscale -> gray -> betti-3
452,0.5945022034903834,inverted_greyscale -> gray -> betti-4
453,0.5944665307668684,inverted_greyscale -> gray -> betti-5
454,0.5555687563376146,inverted_greyscale -> gray -> betti-6
455,0.35801786249418294,inverted_greyscale -> gray -> betti-7
456,0.5542300702888355,inverted_greyscale -> gray -> landscape-0
457,0.5542300702888355,inverted_greyscale -> gray -> landscape-1
458,0.5581520785337608,inverted_greyscale -> gray -> landscape-2
459,0.5409114750234204,inverted_greyscale -> gray -> landscape-3
460,0.7651482931910707,inverted_greyscale -> gray -> landscape-4
461,0.7651482931910707,inverted_greyscale -> gray -> landscape-5
462,0.8076917075353569,inverted_greyscale -> gray -> landscape-6
463,0.8355384766011699,inverted_greyscale -> gray -> landscape-7
464,0.5696549857480657,inverted_greyscale -> gray -> landscape-8
465,0.5696549857480657,inverted_greyscale -> gray -> landscape-9
466,0.5489820156669258,inverted_greyscale -> gray -> landscape-10
467,0.5227086072906078,inverted_greyscale -> gray -> landscape-11
468,0.7038652691883528,inverted_greyscale -> gray -> landscape-12
469,0.7038652691883528,inverted_greyscale -> gray -> landscape-13
470,0.7170920709140877,inverted_greyscale -> gray -> landscape-14
471,0.7200313143034686,inverted_greyscale -> gray -> landscape-15
472,0.5481752833848557,inverted_greyscale -> gray -> landscape-16
473,0.5481752833848557,inverted_greyscale -> gray -> landscape-17
474,0.5427863032095668,inverted_greyscale -> gray -> landscape-18
475,0.5204115387195134,inverted_greyscale -> gray -> landscape-19
476,0.6489098063177959,inverted_greyscale -> gray -> landscape-20
477,0.6489098063177959,inverted_greyscale -> gray -> landscape-21
478,0.6631202377829315,inverted_greyscale -> gray -> landscape-22
479,0.6583349686812378,inverted_greyscale -> gray -> landscape-23
480,0.5481289476302904,inverted_greyscale -> gray -> silhouette-0
481,0.5481289476302904,inverted_greyscale -> gray -> silhouette-1
482,0.5043641816164398,inverted_greyscale -> gray -> silhouette-2
483,0.43090077830706053,inverted_greyscale -> gray -> silhouette-3
484,0.838220049880707,inverted_greyscale -> gray -> silhouette-4
485,0.838220049880707,inverted_greyscale -> gray -> silhouette-5
486,0.8468441252830237,inverted_greyscale -> gray -> silhouette-6
487,0.7995455973930641,inverted_greyscale -> gray -> silhouette-7
488,0.5119080207136327,inverted_greyscale -> gray -> silhouette-8
489,0.5119080207136327,inverted_greyscale -> gray -> silhouette-9
490,0.4738437455044628,inverted_greyscale -> gray -> silhouette-10
491,0.3992379696186895,inverted_greyscale -> gray -> silhouette-11
492,0.8609588678446652,inverted_greyscale -> gray -> silhouette-12
493,0.8609588678446652,inverted_greyscale -> gray -> silhouette-13
494,0.8688920935715281,inverted_greyscale -> gray -> silhouette-14
495,0.8182053734172937,inverted_greyscale -> gray -> silhouette-15
496,0.31644023386026215,inverted_greyscale -> gray -> entropy-0
497,0.36440122353951515,inverted_greyscale -> gray -> entropy-1
498,0.24264937485420168,inverted_greyscale -> gray -> number_of_points-0
499,0.26645593773008697,inverted_greyscale -> gray -> number_of_points-1
500,0.1188106869253639,inverted_greyscale -> gray -> heat-0
501,0.4690579460858781,inverted_greyscale -> gray -> heat-1
502,0.3589779614917826,inverted_greyscale -> gray -> heat-2
503,0.2245312350262332,inverted_greyscale -> gray -> heat-3
504,0.18909779163181115,inverted_greyscale -> gray -> heat-4
505,0.5732827242402506,inverted_greyscale -> gray -> heat-5
506,0.5665309340991841,inverted_greyscale -> gray -> heat-6
507,0.4888880730773685,inverted_greyscale -> gray -> heat-7
508,0.06343974361206002,inverted_greyscale -> gray -> heat-8
509,0.5446089372880418,inverted_greyscale -> gray -> heat-9
